BT1:1
C1:1
D2:1
D3:1
D4:1
D5:1
G***:1
M1:1
Q1:1
Q2:1
Q3:1
Q4:1
Q5:1
R1:1
R10:1
R11:1
R12:1
R19:1
R2:1
R20:1
R21:1
R22:1
R23:1
R3:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
SW2:1
SW3:1
SW4:1
SW5:1
SW6:1
